"Paper_ID","Old_PDF_Path","New_PDF_Path","Old_Note_Path","New_Note_Path","Primary","Secondary"
"01","01_编译阶段排序与强化学习调优/01-AutoPhase Juggling HLS Phase Orderings in Random Forests with Deep Reinforcement Learning. MLSy/paper.pdf","90_Supporting/04_Traditional_ML_Compiler_Optimization/01-AutoPhase Juggling HLS Phase Orderings in Random Forests with Deep Reinforcement Learning. MLSy/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/01_AutoPhase_Juggling_HLS_Phase_Orderings_in_Random_Forests_with_Deep_Rei.md","文献逐篇阅读/90_Supporting/04_Traditional_ML_Compiler_Optimization/01_AutoPhase_Juggling_HLS_Phase_Orderings_in_Random_Forests_with_Deep_Rei.md","SUPPORTING","B4_Traditional_ML_Compiler_Optimization"
"02","01_编译阶段排序与强化学习调优/02-Compiler Phase-Ordering for High-Level Synthesis with Deep Reinforcement Learning. FCCM 2019 ar/paper.pdf","90_Supporting/04_Traditional_ML_Compiler_Optimization/02-Compiler Phase-Ordering for High-Level Synthesis with Deep Reinforcement Learning. FCCM 2019 ar/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/02_Compiler_Phase_Ordering_for_High_Level_Synthesis_with_Deep_Reinforceme.md","文献逐篇阅读/90_Supporting/04_Traditional_ML_Compiler_Optimization/02_Compiler_Phase_Ordering_for_High_Level_Synthesis_with_Deep_Reinforceme.md","SUPPORTING","B4_Traditional_ML_Compiler_Optimization"
"03","01_编译阶段排序与强化学习调优/03-CompilerGym Robust, Performant Compiler Optimization Environments for AI Research. CGO 2022/paper.pdf","90_Supporting/02_Compiler_Infrastructure/03-CompilerGym Robust, Performant Compiler Optimization Environments for AI Research. CGO 2022/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/03_CompilerGym_Robust_Performant_Compiler_Optimization_Environments_for_A.md","文献逐篇阅读/90_Supporting/02_Compiler_Infrastructure/03_CompilerGym_Robust_Performant_Compiler_Optimization_Environments_for_A.md","SUPPORTING","B2_Compiler_Infrastructure"
"05","01_编译阶段排序与强化学习调优/05-MileStone A Multi-Objective Compiler Phase Ordering Framework. arXiv 2026/paper.pdf","90_Supporting/04_Traditional_ML_Compiler_Optimization/05-MileStone A Multi-Objective Compiler Phase Ordering Framework. arXiv 2026/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/05_MileStone_A_Multi_Objective_Compiler_Phase_Ordering_Framework_arXiv_20.md","文献逐篇阅读/90_Supporting/04_Traditional_ML_Compiler_Optimization/05_MileStone_A_Multi_Objective_Compiler_Phase_Ordering_Framework_arXiv_20.md","SUPPORTING","B4_Traditional_ML_Compiler_Optimization"
"06","01_编译阶段排序与强化学习调优/06-Exploiting Booster Pass Chain for Compiler Phase Ordering. 2025/paper.pdf","90_Supporting/04_Traditional_ML_Compiler_Optimization/06-Exploiting Booster Pass Chain for Compiler Phase Ordering. 2025/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/06_Exploiting_Booster_Pass_Chain_for_Compiler_Phase_Ordering_2025.md","文献逐篇阅读/90_Supporting/04_Traditional_ML_Compiler_Optimization/06_Exploiting_Booster_Pass_Chain_for_Compiler_Phase_Ordering_2025.md","SUPPORTING","B4_Traditional_ML_Compiler_Optimization"
"37","01_编译阶段排序与强化学习调优/37-Faster sorting algorithms discovered using deep reinforcement learning. Nature 2023/paper.pdf","90_Supporting/03_LLM_RL_Foundation/37-Faster sorting algorithms discovered using deep reinforcement learning. Nature 2023/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/37_Faster_sorting_algorithms_discovered_using_deep_reinforcement_learning.md","文献逐篇阅读/90_Supporting/03_LLM_RL_Foundation/37_Faster_sorting_algorithms_discovered_using_deep_reinforcement_learning.md","SUPPORTING","B3_LLM_RL_Foundation"
"46","01_编译阶段排序与强化学习调优/38-LLM for Compiler Optimization. arXiv 2023/paper.pdf","01_LLM_as_Selector/01_Pass_Phase_Flag_Selection/38-LLM for Compiler Optimization. arXiv 2023/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/46_Large_Language_Models_for_Compiler_Optimization.md","文献逐篇阅读/01_LLM_as_Selector/01_Pass_Phase_Flag_Selection/46_Large_Language_Models_for_Compiler_Optimization.md","SELECTOR","S1_Pass_Phase_Flag_Selection"
"47","01_编译阶段排序与强化学习调优/39-Priority Sampling LLMs for Compilers. arXiv 2024/paper.pdf","01_LLM_as_Selector/01_Pass_Phase_Flag_Selection/39-Priority Sampling LLMs for Compilers. arXiv 2024/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/47_Priority_Sampling_of_LLMs_for_Compilers.md","文献逐篇阅读/01_LLM_as_Selector/01_Pass_Phase_Flag_Selection/47_Priority_Sampling_of_LLMs_for_Compilers.md","SELECTOR","S1_Pass_Phase_Flag_Selection"
"48","01_编译阶段排序与强化学习调优/40-CompilerDream Compiler World Model. arXiv 2024/paper.pdf","90_Supporting/04_Traditional_ML_Compiler_Optimization/40-CompilerDream Compiler World Model. arXiv 2024/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/48_CompilerDream_World_Model.md","文献逐篇阅读/90_Supporting/04_Traditional_ML_Compiler_Optimization/48_CompilerDream_World_Model.md","SUPPORTING","B4_Traditional_ML_Compiler_Optimization"
"49","01_编译阶段排序与强化学习调优/41-Towards LLM Peephole Optimization. arXiv 2024/paper.pdf","02_LLM_as_Translator/02_IR_ASM_Optimization_Superoptimization/41-Towards LLM Peephole Optimization. arXiv 2024/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/49_Reasoning_for_LLM_Peephole_Optimization.md","文献逐篇阅读/02_LLM_as_Translator/02_IR_ASM_Optimization_Superoptimization/49_Reasoning_for_LLM_Peephole_Optimization.md","TRANSLATOR","T2_IR_ASM_Optimization_Superoptimization"
